Type	POS	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
зодиака		1	29	0	1	0	6166.277	0.000	1.000	0.000	310.009	0.012
знак		2	30	27	1	1	6378.907	27.613	1.000	1.000	242.102	0.013
любят		3	22	30	1	1	4677.865	30.681	1.000	1.000	164.582	0.009
они		4	67	2289	1	1	14246.226	2340.946	1.000	1.000	129.330	0.019
месяцам		5	13	2	1	1	2764.193	2.045	1.000	1.000	127.164	0.006
знака		6	14	7	1	1	2976.823	7.159	1.000	1.000	122.948	0.006
покровительством		7	11	1	1	1	2338.933	1.023	1.000	1.000	110.673	0.005
весы		8	11	5	1	1	2338.933	5.113	1.000	1.000	97.721	0.005
овны		9	9	0	1	0	1913.672	0.000	1.000	0.000	96.172	0.004
стрелец		9	9	0	1	0	1913.672	0.000	1.000	0.000	96.172	0.004
знаки		11	12	15	1	1	2551.563	15.340	1.000	1.000	91.284	0.005
девы		12	8	0	1	0	1701.042	0.000	1.000	0.000	85.484	0.003
львы		12	8	0	1	0	1701.042	0.000	1.000	0.000	85.484	0.003
козерог		14	7	0	1	0	1488.412	0.000	1.000	0.000	74.797	0.003
скорпионы		14	7	0	1	0	1488.412	0.000	1.000	0.000	74.797	0.003
созвездия		14	7	0	1	0	1488.412	0.000	1.000	0.000	74.797	0.003
близнецы		17	9	8	1	1	1913.672	8.182	1.000	1.000	72.740	0.004
рыбы		18	9	14	1	1	1913.672	14.318	1.000	1.000	65.517	0.004
стрельцы		19	6	0	1	0	1275.781	0.000	1.000	0.000	64.111	0.003
раки		20	6	1	1	1	1275.781	1.023	1.000	1.000	58.379	0.003
месяц		21	12	90	1	1	2551.563	92.042	1.000	1.000	55.207	0.005
водолеи		22	5	0	1	0	1063.151	0.000	1.000	0.000	53.424	0.002
водолей		22	5	0	1	0	1063.151	0.000	1.000	0.000	53.424	0.002
козероги		22	5	0	1	0	1063.151	0.000	1.000	0.000	53.424	0.002
часто		25	16	256	1	1	3402.084	261.810	1.000	1.000	51.741	0.006
рождаются		26	7	11	1	1	1488.412	11.250	1.000	1.000	50.846	0.003
предпочитают		27	7	13	1	1	1488.412	13.295	1.000	1.000	49.024	0.003
личности		28	10	66	1	1	2126.302	67.498	1.000	1.000	48.306	0.004
обожают		29	5	1	1	1	1063.151	1.023	1.000	1.000	48.027	0.002
чувствительны		29	5	1	1	1	1063.151	1.023	1.000	1.000	48.027	0.002
телец		31	5	2	1	1	1063.151	2.045	1.000	1.000	45.068	0.002
умеют		32	7	19	1	1	1488.412	19.431	1.000	1.000	44.690	0.003
дева		33	4	0	1	0	850.521	0.000	1.000	0.000	42.739	0.002
кардинальный		33	4	0	1	0	850.521	0.000	1.000	0.000	42.739	0.002
тельца		33	4	0	1	0	850.521	0.000	1.000	0.000	42.739	0.002
тельцы		33	4	0	1	0	850.521	0.000	1.000	0.000	42.739	0.002
фиксированный		33	4	0	1	0	850.521	0.000	1.000	0.000	42.739	0.002
характерные		38	6	11	1	1	1275.781	11.250	1.000	1.000	42.142	0.003
стремятся		39	7	26	1	1	1488.412	26.590	1.000	1.000	40.941	0.003
их		40	38	2352	1	1	8079.949	2405.375	1.000	1.000	38.564	0.011
изменчивый		41	4	1	1	1	850.521	1.023	1.000	1.000	37.744	0.002
окружающим		42	5	7	1	1	1063.151	7.159	1.000	1.000	37.191	0.002
них		43	23	958	1	1	4890.495	979.740	1.000	1.000	36.895	0.008
им		44	19	667	1	1	4039.974	682.137	1.000	1.000	35.693	0.007
наделены		45	4	2	1	1	850.521	2.045	1.000	1.000	35.120	0.002
овен		45	4	2	1	1	850.521	2.045	1.000	1.000	35.120	0.002
черты		47	6	23	1	1	1275.781	23.522	1.000	1.000	34.762	0.003
любит		48	6	24	1	1	1275.781	24.545	1.000	1.000	34.316	0.003
знаков		49	5	12	1	1	1063.151	12.272	1.000	1.000	32.942	0.002
становятся		50	8	80	1	1	1701.042	81.815	1.000	1.000	32.635	0.003
зодиаке		51	3	0	1	0	637.891	0.000	1.000	0.000	32.053	0.001
козерога		51	3	0	1	0	637.891	0.000	1.000	0.000	32.053	0.001
страстны		51	3	0	1	0	637.891	0.000	1.000	0.000	32.053	0.001
тельцов		51	3	0	1	0	637.891	0.000	1.000	0.000	32.053	0.001
числам		51	3	0	1	0	637.891	0.000	1.000	0.000	32.053	0.001
ещё		56	7	57	1	1	1488.412	58.294	1.000	1.000	31.157	0.003
рака		57	4	5	1	1	850.521	5.113	1.000	1.000	30.421	0.002
ноября		58	7	63	1	1	1488.412	64.430	1.000	1.000	29.889	0.003
склонны		59	5	18	1	1	1063.151	18.408	1.000	1.000	29.512	0.002
июля		60	7	68	1	1	1488.412	69.543	1.000	1.000	28.921	0.003
февраля		61	7	74	1	1	1488.412	75.679	1.000	1.000	27.850	0.003
августа		62	7	75	1	1	1488.412	76.702	1.000	1.000	27.680	0.003
водолея		63	3	1	1	1	637.891	1.023	1.000	1.000	27.564	0.001
календарь		63	3	1	1	1	637.891	1.023	1.000	1.000	27.564	0.001
львов		63	3	1	1	1	637.891	1.023	1.000	1.000	27.564	0.001
меркурия		63	3	1	1	1	637.891	1.023	1.000	1.000	27.564	0.001
скорпион		63	3	1	1	1	637.891	1.023	1.000	1.000	27.564	0.001
эмоциональны		63	3	1	1	1	637.891	1.023	1.000	1.000	27.564	0.001
конце		69	11	266	1	1	2338.933	272.036	1.000	1.000	27.563	0.004
июня		70	7	78	1	1	1488.412	79.770	1.000	1.000	27.183	0.003
своё		71	4	9	1	1	850.521	9.204	1.000	1.000	26.777	0.002
месяце		72	4	10	1	1	850.521	10.227	1.000	1.000	26.083	0.002
рыб		73	4	11	1	1	850.521	11.250	1.000	1.000	25.447	0.002
апреля		74	7	94	1	1	1488.412	96.133	1.000	1.000	24.826	0.003
октября		74	7	94	1	1	1488.412	96.133	1.000	1.000	24.826	0.003
и		76	223	32775	1	1	47416.543	33518.782	1.000	1.000	24.790	0.012
января		77	7	98	1	1	1488.412	100.224	1.000	1.000	24.301	0.003
всём		78	3	3	1	1	637.891	3.068	1.000	1.000	23.764	0.001
поэтому		79	14	577	1	1	2976.823	590.094	1.000	1.000	22.674	0.005
личностей		80	3	4	1	1	637.891	4.091	1.000	1.000	22.531	0.001
проявлениях		80	3	4	1	1	637.891	4.091	1.000	1.000	22.531	0.001
ценят		80	3	4	1	1	637.891	4.091	1.000	1.000	22.531	0.001
внимания		83	6	72	1	1	1275.781	73.634	1.000	1.000	22.495	0.003
декабря		84	7	115	1	1	1488.412	117.610	1.000	1.000	22.295	0.003
одежду		85	4	18	1	1	850.521	18.408	1.000	1.000	22.049	0.002
сентября		86	7	119	1	1	1488.412	121.701	1.000	1.000	21.869	0.003
огня		87	4	19	1	1	850.521	19.431	1.000	1.000	21.667	0.002
мая		88	7	123	1	1	1488.412	125.791	1.000	1.000	21.457	0.003
астрологии		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
великодушны		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
гороскоп		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
дружелюбие		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
интуицией		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
мечтательны		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
поняты		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
предприимчивы		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
примется		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
решительны		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
самоуверенны		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
сентиментальны		89	2	0	1	0	425.260	0.000	1.000	0.000	21.368	0.001
